Participants,Gender,How familiar are you with Vedic Mathematics
Participant1,M,Rarely used Vedic Mathematics
Participant2,F,Familiar
Participant3,F,Never used Vedic Mathematics
Participant4,F,Never used Vedic Mathematics
Participant5,M,Familiar
Participant6,M,Never used Vedic Mathematics
Participant7,M,Never used Vedic Mathematics
Participant8,M,Never used Vedic Mathematics
Participant9,M,Familiar
Participant10,F,Never used Vedic Mathematics
Participant11,F,Rarely used Vedic Mathematics
Participant12,M,Never used Vedic Mathematics
Participant13,M,Never used Vedic Mathematics
Participant14,M,Never used Vedic Mathematics
Participant15,M,Never used Vedic Mathematics
Participant16,M,Never used Vedic Mathematics
Participant17,F,Rarely used Vedic Mathematics
Participant18,M,Never used Vedic Mathematics
Participant19,F,Never used Vedic Mathematics
Participant20,M,Never used Vedic Mathematics
Mean,,
Standard Deviation,,